violation_code,violation_type,default_points_mode,canonical_description,action_category,action_priority,action_summary_zh,action_steps_zh,action_summary_en,safe_food_handling_refs,occurrences,businesses_affected,source_run_id,generated_at_utc
0100,RED,5,"PIC present, demonstrates knowledge and performs duties to maintain AMC; certified manager on",management_training,high,负责人在岗并落实食品安全管理，员工证照与上岗培训必须完整。,安排值班负责人全程在岗；逐一核验 Food Worker Card 有效期；新员工入职即完成食品安全培训并留存记录,Ensure person-in-charge oversight and maintain complete worker card/training compliance.,"13 (Personal hygiene), 1 (Receiving food)",5,5,20260225T234301Z,2026-02-25T23:43:01+00:00
0200,BLUE,5,Food Worker Cards current for all food...,management_training,medium,负责人在岗并落实食品安全管理，员工证照与上岗培训必须完整。,安排值班负责人全程在岗；逐一核验 Food Worker Card 有效期；新员工入职即完成食品安全培训并留存记录,Ensure person-in-charge oversight and maintain complete worker card/training compliance.,"13 (Personal hygiene), 1 (Receiving food)",7,7,20260225T234039Z,2026-02-25T23:40:39+00:00
0200,RED,5,Food Worker Cards current for all food workers; new food workers trained,management_training,high,负责人在岗并落实食品安全管理，员工证照与上岗培训必须完整。,安排值班负责人全程在岗；逐一核验 Food Worker Card 有效期；新员工入职即完成食品安全培训并留存记录,Ensure person-in-charge oversight and maintain complete worker card/training compliance.,"13 (Personal hygiene), 1 (Receiving food)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
0300,RED,25,Proper ill worker and conditional employee practices; no ill workers...,employee_health,high,建立员工健康排查与隔离制度，杜绝患病员工接触食品。,班前健康问询并记录；有症状员工立即调离食品岗位；恢复上岗需满足法规要求,Implement illness screening and exclusion policy for food workers.,13 (Personal hygiene),18,18,20260225T234039Z,2026-02-25T23:40:39+00:00
0400,BLUE,15,Hands washed as required,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",4,4,20260225T234039Z,2026-02-25T23:40:39+00:00
0400,RED,25,Hands washed as required,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
0500,BLUE,15,Proper methods used to prevent bare hand...,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",4,4,20260225T234039Z,2026-02-25T23:40:39+00:00
0500,RED,25,Proper barriers used to prevent bare hand contact with ready to eat foods.,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",1161,866,20260225T234039Z,2026-02-25T23:40:39+00:00
0600,BLUE,10,Adequate handwashing facilities,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",9,9,20260225T234039Z,2026-02-25T23:40:39+00:00
0600,RED,10,Adequate handwashing facilities,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",5,5,20260225T234301Z,2026-02-25T23:43:01+00:00
