category,issue,count,denominator,share_pct,severity,why_it_matters,suggested_action,owner
Jurisdiction & Locality Scope,Rows with city outside known King County localities,137,278425,0.05,High,Can mislead city filters and jurisdiction reporting.,Canonicalize to `Outside King County` and keep raw city in audit field.,Data Engineering
Jurisdiction & Locality Scope,Rows with unresolved/unknown city tokens,19,278425,0.01,High,Signals new locality tokens not covered by mapping; breaks grouping consistency.,Add to mapping dictionary or route to Outside bucket after manual review.,Data Engineering
Jurisdiction & Locality Scope,Rows whose coordinates are outside King County bbox,56,278425,0.02,High,Potential non-county records or wrong geocode values.,Flag for exclusion from county-facing KPI and map layer.,Data Engineering
Normalization Consistency,Rows with city casing inconsistency,77065,278425,27.68,Medium,Same city appears under multiple styles; hurts search and dedup.,Enforce canonical uppercase in storage + title case in UI.,Data Engineering
Normalization Consistency,ZIP codes with 3+ city variants,10,120,8.33,Medium,Indicates locality ambiguity or input errors around same zip.,Apply zip-majority repair with thresholds + exception list.,Data Engineering
Identifier Completeness,Rows missing inspection_serial_num,419,278425,0.15,High,Cannot reliably build event-level lineage and joins.,Create deterministic fallback inspection key and keep missing flag.,Data Engineering
Identifier Completeness,Rows missing violation_record_id,122353,278425,43.94,Medium,Weakens dedup and row-level traceability for violations.,Use composite hashed surrogate key for violation rows.,Data Engineering
Identifier Completeness,Rows with unparseable inspection_date,419,278425,0.15,High,Breaks time-based trend analysis and monthly rollups.,Route invalid dates to quarantine table and fill only if recoverable.,Data Engineering
Semantic Completeness,Rows with missing violation_type,122353,278425,43.94,Medium,"Rows may represent non-violation inspections; raw null must be interpreted, not silently dropped.",Tag as `NO_VIOLATION_RECORDED` for event-level metrics.,Data Engineering
Semantic Completeness,Rows with missing official grade,38712,278425,13.9,Medium,Official grade absence drives confusion when dashboard still computes a rating.,Display explicit reason code for missing grade and keep dashboard-calculated rating separately.,Data Engineering
Text Quality,Rows with truncated violation description (...),32286,278425,11.6,Medium,Truncated text reduces public understanding and remediation quality.,Rehydrate from violation code dictionary and add standard description template.,Data Engineering
Numeric Validity,Rows with negative inspection score,7,278425,0.0,Low,May be valid in special contexts but should be clearly tagged.,Whitelist allowed inspection types; flag others for review.,Data Engineering
Rating Consistency,Latest businesses where dashboard rating != official published grade (all),1679,12874,13.04,High,Creates trust gap between county website and dashboard outputs.,Publish a mismatch panel with reason buckets (official missing vs threshold difference).,Analytics + Policy
Rating Consistency,Latest businesses with true mismatch excluding rating-not-available on either side,109,12874,0.85,High,These are direct rule/output disagreements that need policy or data correction.,Review per pattern and confirm county rule implementation + source data completeness.,Analytics + Policy
